New York Net Electricity Generation by Source Feb. 2023
https://www.eia.gov/state/?sid=NY#tabs-4
14:00:48 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration, Electric Power Monthly
Category,New York Net Electricity Generation thousand MWh
Petroleum-Fired,154
Natural Gas-Fired,3922
Nuclear,2186
Hydroelectric,2168
Nonhydroelectric Renewables,834
