California Net Electricity Generation by Source Feb. 2023
https://www.eia.gov/state/?sid=CA#tabs-4
14:03:00 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration, Electric Power Monthly
Category,California Net Electricity Generation thousand MWh
Petroleum-Fired,4
Natural Gas-Fired,7249
Coal-Fired,25
Nuclear,1520
Hydroelectric,1582
Nonhydroelectric Renewables,4934
