California Energy Consumption by End-Use Sector 2020
https://www.eia.gov/state/?sid=CA#tabs-2
14:03:33 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration, State Energy Data System
Category,Energy Consumption by End-Use Sector
Residential,1507.8
Commercial,1358.5
Industrial,1708.6
Transportation,2356.4
