Florida Energy Consumption by End-Use Sector 2020
https://www.eia.gov/state/?sid=FL#tabs-2
13:20:49 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration, State Energy Data System
Category,Energy Consumption by End-Use Sector
Residential,1216.2
Commercial,907.9
Industrial,461.4
Transportation,1418.7
