Florida Net Electricity Generation by Source Feb. 2023
https://www.eia.gov/state/?sid=FL#tabs-4
14:02:11 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration, Electric Power Monthly
Category,Florida Net Electricity Generation thousand MWh
Petroleum-Fired,18
Natural Gas-Fired,12351
Coal-Fired,693
Nuclear,2260
Hydroelectric,19
Nonhydroelectric Renewables,1319
