Texas Net Electricity Generation by Source Feb. 2023
https://www.eia.gov/state/?sid=TX#tabs-4
14:01:36 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration, Electric Power Monthly
Category,Texas Net Electricity Generation thousand MWh
Natural Gas-Fired,17648
Coal-Fired,4220
Nuclear,3424
Hydroelectric,105
Nonhydroelectric Renewables,12539
