Texas Energy Consumption by End-Use Sector 2020
https://www.eia.gov/state/?sid=TX#tabs-2
13:16:04 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration, State Energy Data System
Category,Energy Consumption by End-Use Sector
Residential,1744.2
Commercial,1630.5
Industrial,7267.7
Transportation,2850.3
